domain,login_url
it.advfn.com,https://it.advfn.com/common/account/login
carpetvista.com,https://www.carpetvista.com/login
xyzbeads.com,https://www.xyzbeads.com/Customer/SignIn
www109.zippyshare.com,https://www.zippyshare.com/
www100.zippyshare.com,https://www.zippyshare.com/
money-ktse54.beauty,https://money-ktse54.beauty/login.php
www54.zippyshare.com,https://www.zippyshare.com/
oktask.top,https://oktask.top/login.php
money-ag4t.beauty,https://money-ag4t.beauty/login.php
gus-hrustal.ru,https://gus-hrustal.ru/login/
briantracy.com,https://www.briantracy.com/login.aspx
earncash-dfh4.buzz,https://earncash-dfh4.buzz/login.php
jeux-sexe-gratuit.com,https://www.jeux-sexe-gratuit.com/
afrotender.com,https://afrotender.com/login
vsexshopgdlalcala.com.mx,https://vsexshopgdlalcala.com.mx/
webindia123.com,https://photo.webindia123.com/user/login.aspx
4gamestore.com,https://4gamestore.com/
sonyviewsdigital.com,https://sonyviewsdigital.com/login.php
www12.zippyshare.com,https://www.zippyshare.com/
safesidetactical.com,https://www.safesidetactical.com/login.cfm
asiana-plaza.com,https://asiana-plaza.com/
www33.zippyshare.com,https://www.zippyshare.com/
money-klw7f.beauty,https://money-klw7f.beauty/login.php
www69.zippyshare.com,https://www.zippyshare.com/
rugvista.pt,https://www.rugvista.pt/login
try4.me,https://try4.me/dash/auth/signin.php
www41.zippyshare.com,https://www.zippyshare.com/
pdicstoreessentials.com,https://www.pdicstoreessentials.com/login-page
tochkalubvi.ru,https://www.tochkalubvi.ru/user/auth/login
www28.zippyshare.com,https://www.zippyshare.com/
mindappz.com,https://mindappz.com/main/login
porngames.games,https://porngames.games/sign-in
trybuzz.com,https://trybuzz.com/login
www61.zippyshare.com,https://www.zippyshare.com/
nikahinkerala.com,https://www.nikahinkerala.com/
parta.com.ua,https://parta.com.ua/login/
www17.zippyshare.com,https://www.zippyshare.com/
quickshopiie.com,https://quickshopiie.com/
www89.zippyshare.com,https://www.zippyshare.com/
relxbycake.com,https://relxbycake.com/
m.hanindisk.com,https://m.hanindisk.com/
www30.zippyshare.com,https://www.zippyshare.com/
egymoob.com,https://egymoob.com/login.php
centronoli.it,https://www.centronoli.it/
uranai-box.com,https://uranai-box.com/login/
everlook.org,https://everlook.org/login
edo.entourageyearbooks.com,https://edo.entourageyearbooks.com/Login.asp?
rugvista.no,https://www.rugvista.no/login
www96.zippyshare.com,https://www.zippyshare.com/
digitallifereview.com,https://digitallifereview.com/login.php
www65.zippyshare.com,https://www.zippyshare.com/
www23.zippyshare.com,https://www.zippyshare.com/
earn-f46g.beauty,https://earn-f46g.beauty/login.php
rugvista.com,https://www.rugvista.com/login
rugvista.gr,https://www.rugvista.gr/login
bestfunquiz.com,https://www.bestfunquiz.com/login
lacrossetechnology.fr,https://www.lacrossetechnology.fr/account/
app.gamedia.jp,https://app.gamedia.jp/login
crypto-fire.website,https://crypto-fire.website/loginto
www22.zippyshare.com,https://www.zippyshare.com/
www59.zippyshare.com,https://www.zippyshare.com/
uppsctarget.com,https://uppsctarget.com/attachment/login_registration.php?page=/
earn-a4n6.beauty,https://earn-a4n6.beauty/login.php
medicalbooksonline.net,https://medicalbooksonline.net/login
giromagi.com,https://www.giromagi.com/en/login
fr.advfn.com,https://fr.advfn.com/common/account/login
gooddeals.gr,https://www.gooddeals.gr/login.asp
rugvista.pl,https://www.rugvista.pl/login
www101.zippyshare.com,https://www.zippyshare.com/
earn-hf43jhf.beauty,https://earn-hf43jhf.beauty/login.php
bdixtv.serverbd247.com,https://bdixtv.serverbd247.com/
thesaddleryshop.co.uk,https://www.thesaddleryshop.co.uk/members/login
www119.zippyshare.com,https://www.zippyshare.com/
lovestore.vn,https://lovestore.vn/
impetusgurukul.com,https://www.impetusgurukul.com/signin.html
davidmorgan.com,https://www.davidmorgan.com/
cheapweed.io,https://cheapweed.io/account/
www62.zippyshare.com,https://www.zippyshare.com/
europlayers.com,https://europlayers.com/login.aspx
uk.advfn.com,https://uk.advfn.com/common/account/login
airfaucet.com,https://airfaucet.com/login
www113.zippyshare.com,https://www.zippyshare.com/
rugvista.nl,https://www.rugvista.nl/login
money-mfi2.beauty,https://money-mfi2.beauty/login.php
yts.io,https://yts.io/
www80.zippyshare.com,https://www.zippyshare.com/
lacentral.com,https://www.lacentral.com/
earn-654dfg.beauty,https://earn-654dfg.beauty/login.php
m.homesbymarco.com,https://www.homesbymarco.com/log_in
earn-anb78.beauty,https://earn-anb78.beauty/login.php
www13.zippyshare.com,https://www.zippyshare.com/
2minman.com,https://2minman.com/
money-m46a.beauty,https://money-m46a.beauty/login.php
bookow.com,https://bookow.com/
www118.zippyshare.com,https://www.zippyshare.com/
www21.zippyshare.com,https://www.zippyshare.com/
mojepredplatne.cz,https://ucet.vlmedia.cz/?website=mojepredplatne&client_id=3c9eee3db549e493f469434d2319b4a0&redirect_uri=http://www.mojepredplatne.cz/connect/reglog/check&response_type=code
beadpark.com,https://www.beadpark.com/Customer/SignIn?returnUrl=http%3A%2F%2Fwww.beadpark.com%2Fmyaccount&viewsite=
www51.zippyshare.com,https://www.zippyshare.com/
earn-35efg.beauty,https://earn-35efg.beauty/login.php
earn-eyr635.beauty,https://earn-eyr635.beauty/login.php
www93.zippyshare.com,https://www.zippyshare.com/
carpetvista.se,https://www.carpetvista.se/login
toc-task.top,https://toc-task.top/login.php
liveclasses.ru,https://oauth.vk.com/authorize?response_type=code&client_id=5088061&redirect_uri=https%3A%2F%2Fliveclasses.ru%2Foauth%2Fcallback%2Fvk%2F&scope=email&state=%2F
www44.zippyshare.com,https://www.zippyshare.com/
pogo.arspoofing.com,https://pogo.arspoofing.com/
money-meyte.beauty,https://money-meyte.beauty/login.php
vanguardminiatures.co.uk,https://vanguardminiatures.co.uk/
jvnet.vn,https://jvnet.vn/
earn-gda435.beauty,https://earn-gda435.beauty/login.php
mobile.iafstore.com,https://www.iafstore.com/ita/
maisonwhite.co.uk,https://www.maisonwhite.co.uk/
yfi-task.top,https://yfi-task.top/login.php
www24.zippyshare.com,https://www.zippyshare.com/
gna.org.gh,https://subscription.gna.org.gh/login.php
earnmoney-j45ag.buzz,https://earnmoney-j45ag.buzz/login.php
scoreexchange.com,https://www.scoreexchange.com/login
care2.com,https://www.care2.com/passport/login.html?promo=register
earn-eg345.beauty,https://earn-eg345.beauty/login.php
sa-mp-servers.com,https://sa-mp-servers.com/login/
rugvista.de,https://www.rugvista.de/login
www114.zippyshare.com,https://www.zippyshare.com/
rugvista.dk,https://www.rugvista.dk/login
easypaychess.com,https://chessentry.in/login.asp
prosportshop.rs,https://prosportshop.rs/
earn-amz8f.beauty,https://earn-amz8f.beauty/login.php
www10.zippyshare.com,https://www.zippyshare.com/
www8.zippyshare.com,https://www.zippyshare.com/
www45.zippyshare.com,https://www.zippyshare.com/
www20.zippyshare.com,https://www.zippyshare.com/
vipserije.com,https://vipserije.com/
trf.zeni.net,https://cod.zeni.net/trf/site_login.php
www70.zippyshare.com,https://www.zippyshare.com/
